timestamp,trunk_angle,knee_angle,arm_swing_angle,distance_cm,vertical_oscillation,left_hip_ankle_angle,right_hip_ankle_angle,total_step_count,steps_per_minutefps,elapsed_time
0.6895501613616943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
0.8658344745635986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.345308970908452,0.1762843132019043
0.9484837055206299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.585984387401638,0.25893354415893555
1.0311768054962158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.708688618634001,0.3416266441345215
1.1044244766235352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.05184272939224,0.4148743152618408
1.1703851222991943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.478293983244479,0.4808349609375
1.2430016994476318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.647900526591492,0.5534515380859375
1.3226158618927002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.63691903271607,0.6330657005310059
1.3897724151611328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.853061940213385,0.7002222537994385
1.463176965713501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.926129166864417,0.7736268043518066
1.5352506637573242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.006968742291292,0.8457005023956299
1.6174333095550537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.932662936453447,0.9278831481933594
1.7002012729644775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.862994806767103,1.0106511116027832
1.7928099632263184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.689667453068209,1.103259801864624
1.8875234127044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.521147682710724,1.1979732513427734
1.9749319553375244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.447663468540506,1.28538179397583
2.057053804397583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.431411123892598,1.3675036430358887
2.13792085647583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.427757659499973,1.4483706951141357
2.21303129196167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.47143769514063,1.5234811305999756
2.295790672302246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.451435425625506,1.6062405109405518
2.3780627250671387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.436981785859773,1.6885125637054443
2.462158441543579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.41108949222702,1.7726082801818848
2.5473740100860596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.380075762184049,1.8578238487243652
2.6299118995666504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.36882769199654,1.940361738204956
2.7629826068878174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.057301434605638,2.073432445526123
2.835216522216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.117447742266108,2.1456663608551025
2.907243013381958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.174814909739942,2.2176928520202637
2.9900712966918945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.171155296072115,2.3005211353302
3.073380947113037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.165293012129506,2.3838307857513428
3.1567330360412598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.159617476226346,2.4671828746795654
3.2443573474884033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.612870089035477,2.554807186126709
3.3278536796569824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.60837966608753,2.638303518295288
3.411388397216797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.603921476709527,2.7218382358551025
3.484251022338867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.605960738614483,2.794700860977173
3.5565731525421143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.572353737331389,2.86702299118042
3.6287343502044678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.574753499929246,2.9391841888427734
3.711129665374756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.560111629359223,3.0215795040130615
3.795071601867676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.472460875471178,3.1055214405059814
3.87687611579895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.429055211349743,3.187325954437256
3.960366725921631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.370541957990396,3.2708165645599365
4.033223867416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.418295080414032,3.3436737060546875
4.115508794784546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.420778608511654,3.4259586334228516
4.188628196716309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.52181804973534,3.4990780353546143
4.26899528503418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.597251451327045,3.5794451236724854
4.342074871063232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.673506023104961,3.652524709701538
4.424922466278076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.669621623428583,3.735372304916382
4.511822700500488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.63742225716405,3.822272539138794
4.598794937133789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.574590136247831,3.9092447757720947
4.678087472915649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.592889346229017,3.988537311553955
4.759948492050171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.595062456752029,4.070398330688477
4.832836627960205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.654606674112182,4.143286466598511
4.906267404556274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.717827804481058,4.21671724319458
4.9770729541778564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.78139816654777,4.287522792816162
5.0540289878845215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.094453368049539,4.364478826522827
5.124903678894043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.102226613148092,4.435353517532349
5.196312665939331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.105761096646264,4.506762504577637
5.268034934997559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.169657098791017,4.578484773635864
5.34889554977417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.18383101779091,4.659345388412476
5.432373046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.183104470468821,4.742822885513306
5.5234129428863525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.163347160366948,4.833862781524658
5.603760480880737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.181559097177882,4.914210319519043
5.682940483093262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.20682901639241,4.993390321731567
5.753783464431763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.218581697089506,5.064233303070068
5.832720041275024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.180168709015286,5.14316987991333
5.909690618515015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.152378419872262,5.22014045715332
5.996854543685913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.124939175604528,5.307304382324219
6.087240695953369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.088039655279657,5.397690534591675
6.1657915115356445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.106644332891303,5.47624135017395
6.246674060821533,0.0,0.0,14.519526674884588,0.0,0.0,0.0,0.0,0,0.0,13.121595483711923,5.557123899459839
6.327794313430786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.074342542896883,5.638244152069092
6.4111504554748535,0.0,0.0,11.100378453428497,0.0,0.0,0.0,0.0,0,0.0,13.06824166580898,5.721600294113159
6.484683513641357,0.0,0.0,11.496950588560754,0.0,0.0,0.0,0.0,0,0.0,13.065887297600899,5.795133352279663
6.557818651199341,0.0,0.0,11.358199275642443,0.0,0.0,0.0,0.0,0,0.0,13.10717132806272,5.8682684898376465
6.63056755065918,0.0,0.0,11.428971247925917,0.0,0.0,0.0,0.0,0,0.0,13.10906531075151,5.941017389297485
6.70507287979126,0.0,0.0,11.538205319000589,0.0,0.0,0.0,0.0,0,0.0,13.157026756746696,6.015522718429565
6.8016746044158936,0.0,0.0,11.496027001368596,0.0,0.0,0.0,0.0,0,0.0,13.101283951465666,6.112124443054199
6.876107692718506,0.0,0.0,13.537393674586994,0.0,0.0,0.0,0.0,0,0.0,13.173421141400176,6.1865575313568115
6.94926381111145,0.0,0.0,14.488100477253994,0.0,0.0,0.0,0.0,0,0.0,13.209013978998959,6.259713649749756
