timestamp,trunk_angle,knee_angle,arm_swing_angle,distance_cm,vertical_oscillation,left_hip_ankle_angle,right_hip_ankle_angle,total_step_count,steps_per_minutefps,elapsed_time
0.6797025203704834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
0.8741302490234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10.286598592991444,0.1944277286529541
0.9511935710906982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.0500879938457,0.27149105072021484
1.0258705615997314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.555081704815784,0.34616804122924805
1.0985174179077148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.938448296375404,0.41881489753723145
1.1807971000671387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.973787470685046,0.5010945796966553
1.2624485492706299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.01209386739459,0.5827460289001465
1.3537359237670898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.868847982438547,0.6740334033966064
1.438310146331787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.86384066281333,0.7586076259613037
1.5197763442993164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.903715739210025,0.840073823928833
1.6102328300476074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.82121623079294,0.930530309677124
1.7048003673553467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.706199593820036,1.0250978469848633
1.787778377532959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.73204877262643,1.1080758571624756
1.884042739868164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.624622156884598,1.2043402194976807
1.9756269454956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.574749043372451,1.295924425125122
2.0478830337524414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.694363312082375,1.368180513381958
2.113258123397827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.858626176829041,1.4335556030273438
2.1891024112701416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11.925269180502811,1.5093998908996582
2.2538554668426514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.069983442575179,1.574152946472168
2.3341846466064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.088374774710383,1.654482126235962
2.416515350341797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.091112892312553,1.7368128299713135
2.5047051906585693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.054776882341322,1.825002670288086
2.581347703933716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.094790447134544,1.9016451835632324
2.655428886413574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.147431148609046,1.9757263660430908
2.72322154045105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.233798537884109,2.0435190200805664
2.786180257797241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.34287908105842,2.106477737426758
2.8498806953430176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.441374773452281,2.170178174972534
2.9204049110412598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.496081637873347,2.2407023906707764
2.9900081157684326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.55245196036707,2.310305595397949
3.0492560863494873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12.660612712338162,2.369553565979004
3.120837926864624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.352871980580206,2.4411354064941406
3.191467046737671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.39122224412189,2.5117645263671875
3.269380807876587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13.371902379222705,2.5896782875061035
