timestamp,trunk_angle,knee_angle,arm_swing_angle,distance_cm,vertical_oscillation,left_hip_ankle_angle,right_hip_ankle_angle,total_step_count,steps_per_minutefps,elapsed_time
0.6760311126708984,0.0,0.0,46.8713479503766,0.0,0.0,0.0,0.0,0,0.0,0,0.0
0.9015312194824219,0.0,0.0,50.6671804715554,0.0,0.0,0.0,0.0,0,0.0,8.869175399866359,0.22550010681152344
0.9531996250152588,0.0,0.0,51.90156439196275,0.0,0.0,0.0,0.0,0,0.0,10.823740310994392,0.27716851234436035
0.9988563060760498,0.0,0.0,52.59302543359183,0.0,0.0,0.0,0.0,0,0.0,12.39060668657272,0.32282519340515137
1.0521881580352783,0.0,0.0,52.35332874487793,0.0,0.0,0.0,0.0,0,0.0,13.292320485866604,0.3761570453643799
1.0942308902740479,0.0,0.0,52.31434533576777,0.0,0.0,0.0,0.0,0,0.0,14.347209925333098,0.4181997776031494
1.1476404666900635,0.0,0.0,52.3282098338689,0.0,0.0,0.0,0.0,0,0.0,14.842792960623798,0.47160935401916504
1.1900227069854736,0.0,0.0,51.12945451928977,0.0,0.0,0.0,0.0,0,0.0,15.564456867564664,0.5139915943145752
1.2327752113342285,0.0,0.0,50.70763968372624,0.0,0.0,0.0,0.0,0,0.0,16.165416071059983,0.5567440986633301
1.2838890552520752,0.0,0.0,51.24283415014674,0.0,0.0,0.0,0.0,0,0.0,16.451212198587903,0.6078579425811768
1.3392188549041748,0.0,0.0,50.33005563236458,0.0,0.0,0.0,0.0,0,0.0,16.586555057482876,0.6631877422332764
1.387242317199707,0.0,0.0,49.62237987041813,0.0,0.0,0.0,0.0,0,0.0,16.872625070565693,0.7112112045288086
1.4295530319213867,0.0,0.0,49.44272823735996,0.0,0.0,0.0,0.0,0,0.0,17.252318304065813,0.7535219192504883
1.4815030097961426,0.0,0.0,49.10501496571676,0.0,0.0,0.0,0.0,0,0.0,17.381115405722365,0.8054718971252441
1.5352978706359863,0.0,0.0,48.69467725993313,0.0,0.0,0.0,0.0,0,0.0,17.45674420772769,0.8592667579650879
1.5872306823730469,0.0,0.0,48.93700119631313,0.0,0.0,0.0,0.0,0,0.0,17.559270803025132,0.9111995697021484
1.641005516052246,0.0,0.0,48.60651528171347,0.0,0.0,0.0,0.0,0,0.0,17.617047602952614,0.9649744033813477
1.683366298675537,0.0,0.0,48.70715359563437,0.0,0.0,0.0,0.0,0,0.0,17.868928088765394,1.0073351860046387
1.7364897727966309,0.0,0.0,49.06369067434918,0.0,0.0,0.0,0.0,0,0.0,17.91677574470209,1.0604586601257324
1.7880585193634033,0.0,0.0,47.928552139115745,0.0,0.0,0.0,0.0,0,0.0,17.985168242827626,1.1120274066925049
1.8518779277801514,0.0,0.0,45.80896392434892,0.0,0.0,0.0,0.0,0,0.0,17.85946921840223,1.175846815109253
1.9050638675689697,0.0,0.0,47.22790053591606,0.0,0.0,0.0,0.0,0,0.0,17.90025523105326,1.2290327548980713
1.957918405532837,0.0,0.0,47.03028231666193,0.0,0.0,0.0,0.0,0,0.0,17.942295027084835,1.2818872928619385
2.00964093208313,0.0,0.0,46.474867444078924,0.0,0.0,0.0,0.0,0,0.0,17.996268211775497,1.3336098194122314
2.060811758041382,0.0,0.0,45.42153300634167,0.0,0.0,0.0,0.0,0,0.0,18.053400792088276,1.3847806453704834
2.11161208152771,0.0,0.0,47.04491058242625,0.0,0.0,0.0,0.0,0,0.0,18.11113449121887,1.4355809688568115
2.164416790008545,0.0,0.0,46.4298404870413,0.0,0.0,0.0,0.0,0,0.0,18.14045943273004,1.4883856773376465
2.2174198627471924,0.0,0.0,44.35365262698857,0.0,0.0,0.0,0.0,0,0.0,18.165436849473625,1.541388750076294
2.2801461219787598,0.0,0.0,54.55082071462691,0.0,0.0,0.0,0.0,0,0.0,18.07850424173316,1.6041150093078613
2.33333683013916,0.0,0.0,51.751731207883736,0.0,0.0,0.0,0.0,0,0.0,18.101669283943995,1.6573057174682617
2.3855628967285156,0.0,0.0,56.292286687127415,0.0,0.0,0.0,0.0,0,0.0,20.21520191244891,1.7095317840576172
2.4375059604644775,0.0,0.0,62.567290222434046,0.0,0.0,0.0,0.0,0,0.0,20.21146126208552,1.761474847793579
2.4901344776153564,1.7754552355448932,0.0,0.0,174.04965138716298,0.0,0.0,0.0,0,0.0,20.116971181194057,1.814103364944458
2.542144298553467,2.7043505192140582,0.0,0.0,167.35434403484723,0.0,0.0,0.0,0,0.0,20.134820874369073,1.8661131858825684
2.594170570373535,3.3580657820286817,0.0,0.0,166.26801921375122,0.0,0.0,0.0,0,0.0,20.000804297683608,1.9181394577026367
2.6560213565826416,3.224351627371683,0.0,0.0,169.89588478716158,0.0,0.0,0.0,0,0.0,19.88887568188198,1.9799902439117432
2.7189385890960693,3.310107751221762,0.0,0.0,172.959042503885,0.0,0.0,0.0,0,0.0,19.621746592485145,2.042907476425171
2.771653890609741,2.2603444656693434,0.0,0.0,171.57882018856012,0.37934390152581826,0.0,0.0,0,0.0,19.494714173389987,2.0956227779388428
2.8235230445861816,1.897001362541571,0.0,36.61632112581916,170.61519387696643,0.5011819749850968,0.0,0.0,0,0.0,19.485150501889763,2.147491931915283
2.875197410583496,1.9296293487402782,0.0,40.19924105384346,169.95838343296916,0.5351562473334683,0.0,0.0,0,0.0,19.531522682445146,2.1991662979125977
2.9274282455444336,1.231035930616837,0.0,41.83618853340862,168.66934537051927,0.654491027713034,0.0,0.0,0,0.0,19.47816782889433,2.251397132873535
2.9791951179504395,1.4655486765155015,0.0,41.829601172038835,168.04033958633494,0.8033166414661664,0.0,0.0,0,0.0,19.35930901107287,2.303164005279541
3.0324299335479736,2.2698659041771183,0.0,43.53645321672419,166.85936832434993,0.5297268875784761,0.0,0.0,0,0.0,19.343271137125736,2.356398820877075
3.084545135498047,1.6360364960047908,0.0,43.015861402655865,168.16499204622326,0.43786019294828143,0.0,0.0,0,0.0,19.364242674761858,2.4085140228271484
3.137713670730591,2.6140095920237383,0.0,43.03496737535466,167.4194145733803,0.44886978482193207,0.0,0.0,0,0.0,19.34880951630406,2.4616825580596924
3.1895251274108887,2.8646752122708627,0.0,42.360855608924666,164.38361068349013,0.4743118429518278,0.0,0.0,0,0.0,19.37334198414094,2.5134940147399902
3.2416141033172607,2.866581968552354,0.0,41.79637135481446,165.20856429129137,0.44544747147093056,0.0,0.0,0,0.0,19.25239356066199,2.5655829906463623
3.303581714630127,3.3486077789445488,0.0,43.34515936695356,167.3762259578056,0.4837279125679078,0.0,0.0,0,0.0,19.143739559339465,2.6275506019592285
